Country,Crime,Safety
VE,84.86,15.14
PG,80.26,19.74
ZA,77.02,22.98
HN,75.84,24.16
AF,73.26,26.74
TT,73.15,26.85
BR,69.48,30.52
SV,68.63,31.37
NA,68.14,31.86
SY,66.91,33.09
JM,65.26,34.74
BD,64.98,35.02
PR,64.75,35.25
NG,64.64,35.36
PE,64.58,35.42
KZ,64.23,35.77
AR,62.96,37.04
KE,62.38,37.62
LY,61.26,38.74
MY,60.66,39.34
DO,60.62,39.38
FJ,60.52,39.48
TZ,59.83,40.17
SO,58.74,41.26
MN,57.76,42.24
UG,56.47,43.53
GT,56.05,43.95
CR,55.77,44.23
DZ,54.41,45.59
BO,54.31,45.69
ZW,53.84,46.16
MV,53.83,46.17
BW,52.89,47.11
CO,52.54,47.46
MX,52.51,47.49
UY,52.33,47.67
KH,51.8,48.2
GH,51.57,48.43
MA,49.53,50.47
UA,49.04,50.96
IR,49.03,50.97
EC,48.91,51.09
EG,48.53,51.47
VN,48.22,51.78
ET,47.46,52.54
MU,47.34,52.66
SE,47.21,52.79
CL,47.12,52.88
US,46.73,53.27
FR,46.45,53.55
IQ,46.35,53.65
ID,46.26,53.74
IE,46.18,53.82
MD,45.7,54.3
PA,45.47,54.53
PK,44.58,55.42
IT,44.35,55.65
NI,44.34,55.66
GB,43.64,56.36
BA,43.57,56.43
LB,43.38,56.62
JO,42.89,57.11
AU,42.7,57.3
BE,42.5,57.5
IN,42.38,57.62
RU,41.7,58.3
TH,41.29,58.71
PH,41.09,58.91
NZ,40.89,59.11
TN,40.64,59.36
LK,40.15,59.85
AL,40.02,59.98
TR,39.86,60.14
ME,39.67,60.33
CA,39.48,60.52
BG,39.31,60.69
GR,39.29,60.71
PS,39.26,60.74
MK,39.22,60.78
MT,37.73,62.27
RS,37.63,62.37
CN,36.7,63.3
LV,36.6,63.4
NP,35.7,64.3
KW,35.61,64.39
HU,35.41,64.59
LT,34.82,65.18
DE,34.6,65.4
NO,33.51,66.49
AZ,32.68,67.32
ES,31.07,68.93
IL,30.71,69.29
LU,30.17,69.83
PT,30.11,69.89
PL,29.67,70.33
CY,29.62,70.38
KR,29.24,70.76
BH,29.18,70.82
SK,29.18,70.82
NL,28.54,71.46
SA,28.22,71.78
BN,28.05,71.95
RO,27.84,72.16
SG,27.7,72.3
CU,27.62,72.38
CZ,25.99,74.01
BY,24.8,75.2
DK,24.72,75.28
HR,24.23,75.77
AT,23.23,76.77
IS,23.15,76.85
FI,22.75,77.25
EE,22.17,77.83
SI,22.01,77.99
OM,21.55,78.45
CH,21.18,78.82
AM,20.78,79.22
GE,20.18,79.82
HK,18.1,81.9
TW,16.22,83.78
JP,15.91,84.09
AE,15.52,84.48
QA,12.0,88.0
