Country,GDP
AF,1951.558504
AO,6440.97627
AL,13325.55463
AE,74942.72149
AR,20567.30179
AM,10324.93513
AG,26739.46819
AU,51601.78395
AT,55509.59306
AZ,18012.31548
BI,742.796896
BE,50366.67903
BJ,2420.479725
BF,1975.036848
BD,4364.045283
BG,21960.36994
BH,47219.84105
BA,14347.99012
BY,19959.54272
BZ,8786.494801
BO,7859.281711
BR,16068.01996
BN,80777.55067000001
BT,10516.27721
BW,18582.96654
CF,871.5214207
CA,48106.89302
CH,68095.7804
CL,25222.52778
CN,18210.09398
CI,4199.667628
CM,3771.052011
CD,930.5280974
CG,5652.078216
CO,14999.44381
KM,2827.865991
CV,7494.714804000001
CR,17645.09924
CZ,39743.59709
DE,53735.2006
DM,10649.8081
DK,55105.0364
DO,17798.80537
DZ,15621.85944
EC,11713.69349
EG,12390.41997
ES,39915.47099
EE,35450.23971
ET,2018.571869
FI,47930.19149
FJ,11003.72288
FR,45342.39574
FM,3595.502114
GA,17912.42049
GB,45489.10935
GE,11420.62966
GH,4738.3140950000015
GN,2630.188575
GM,1706.271763
GW,1795.895188
GQ,23472.59316
GR,29592.15242
GD,15716.75704
GT,8447.447181
GY,8568.758371
HK,64487.59607000001
HN,5129.690135
HR,27504.67478
HT,1863.325687
HU,30673.07964
ID,13056.55305
IN,7761.595297
IE,83203.39468
IQ,17510.16058
IS,57311.349
IL,39822.48791
IT,41630.4488
JM,9298.799235
JO,9347.942243
JP,42793.9502
KZ,27830.585280000007
KE,3461.441353
KG,3877.858025
KH,4354.074297
KI,2289.874945
KN,31831.30942
KR,40111.77576
KW,73704.59333999999
LA,7441.279777
LB,13058.03859
LR,1306.321734
LY,20706.1378
LC,13886.58256
LK,13449.90194
LS,3223.020858
LT,35343.41973
LU,111103.1346
LV,30692.23567
MO,122434.8358
MA,8586.6387
MD,7300.939066
MG,1634.15586
MV,15312.31796
MX,19887.92283
MH,4048.456178
MK,16358.66205
ML,2312.569719
MT,42567.20536
MM,6662.258825
ME,20494.54437
MN,13735.36664
MZ,1327.91651
MR,4189.954615
MU,23709.10256
MW,1308.68358
MY,31698.37147
NE,1048.483199
NG,5980.285413000001
NI,5523.764152000002
NL,56328.94114
NO,65598.75255
NP,3064.449286
NR,15044.56336
NZ,41025.63504
OM,41434.64742
PK,5543.897107
PA,25508.6321
PE,14393.4516
PH,8935.300183
PW,19352.50377
PG,4298.653911
PL,31342.9738
PR,39470.85608
PT,33041.1806
PY,13570.86254
PS,5148.473073
QA,126597.6391
RO,28206.35705
RU,27147.33358
RW,2253.520006
SA,55119.91466
SD,4759.281882
SN,3775.868008
SG,101352.5766
SB,2409.410477
SL,1603.505074
SV,8316.988970999999
RS,17404.2751
ST,3412.558163
SR,15497.888469999998
SK,33917.19896
SI,38209.06777
SE,52725.21746
SZ,10721.64259
SC,30503.18752
TC,25325.99159
TD,1964.787187
TG,1761.134743
TH,19017.73586
TJ,3443.695541
TM,19270.05802
TL,7644.929095999999
TO,6408.241083
TT,32227.84942
TN,12483.51203
TR,27892.51696
TV,4042.422868
TZ,3227.034211
UG,2033.287394
UA,9233.150469
UY,23530.60732
US,62641.01457000001
UZ,7020.325267
VC,12307.26044
VN,7434.679920999999
VU,3201.82453
WS,6850.448227
YE,2570.585083
ZA,13730.32669
ZM,4216.457967
ZW,3024.449887
