Country,IDI
Iceland,8.98
Korea (Rep.),8.85
Switzerland,8.74
Denmark,8.71
United Kingdom,8.65
"Hong Kong, China",8.61
Netherlands,8.49
Norway,8.47
Luxembourg,8.47
Japan,8.43
Sweden,8.41
Germany,8.39
New Zealand,8.33
Australia,8.24
France,8.24
United States,8.18
Estonia,8.14
Singapore,8.05
Monaco,8.05
Ireland,8.02
Austria,8.02
Finland,7.88
Israel,7.88
Malta,7.86
Belgium,7.81
"Macao, China",7.8
Spain,7.79
Cyprus,7.77
Canada,7.77
Andorra,7.71
Bahrain,7.6
Belarus,7.55
Slovenia,7.38
Barbados,7.31
Latvia,7.26
Croatia,7.24
St. Kitts and Nevis,7.24
Greece,7.23
Qatar,7.21
United Arab Emirates,7.21
Lithuania,7.19
Uruguay,7.16
Czech Republic,7.16
Portugal,7.13
Russian Federation,7.07
Slovakia,7.06
Italy,7.04
Hungary,6.93
Poland,6.89
Bulgaria,6.86
Argentina,6.79
Kazakhstan,6.79
Brunei Darussalam,6.75
Saudi Arabia,6.67
Serbia,6.61
Chile,6.57
Bahamas,6.51
Romania,6.48
Moldova,6.45
Costa Rica,6.44
Montenegro,6.44
Oman,6.43
Malaysia,6.38
Lebanon,6.3
Azerbaijan,6.2
Brazil,6.12
Turkey,6.08
Trinidad & Tobago,6.04
TFYR Macedonia,6.01
Jordan,6
Kuwait,5.98
Mauritius,5.88
Grenada,5.8
Georgia,5.79
Armenia,5.76
Antigua & Barbuda,5.71
Dominica,5.69
Thailand,5.67
Ukraine,5.62
China,5.6
Iran (I.R.),5.58
St. Vincent and the Grenadines,5.54
Bosnia and Herzegovina,5.39
Colombia,5.36
Maldives,5.25
Venezuela,5.17
Mexico,5.16
Suriname,5.15
Albania,5.14
Seychelles,5.03
Mongolia,4.96
South Africa,4.96
Cape Verde,4.92
Panama,4.91
Uzbekistan,4.9
Peru,4.85
Ecuador,4.84
Jamaica,4.84
Tunisia,4.82
Morocco,4.77
Philippines,4.67
Algeria,4.67
Egypt,4.63
St. Lucia,4.63
Botswana,4.59
Dominican Rep.,4.51
Fiji,4.49
Viet Nam,4.43
Kyrgyzstan,4.37
Tonga,4.34
Indonesia,4.33
Bolivia,4.31
Paraguay,4.18
Gabon,4.11
Libya,4.11
Ghana,4.05
Sri Lanka,3.91
Namibia,3.89
El Salvador,3.82
Belize,3.71
Bhutan,3.69
Timor-Leste,3.57
Palestine,3.55
Guyana,3.44
Guatemala,3.35
Syria,3.34
Samoa,3.3
Cambodia,3.28
Honduras,3.28
Nicaragua,3.27
C�te d'Ivoire,3.14
S. Tom� & Principe,3.09
Lesotho,3.04
India,3.03
Myanmar,3
Zimbabwe,2.92
Cuba,2.91
Kenya,2.91
Lao P.D.R.,2.91
Nepal,2.88
Vanuatu,2.81
Senegal,2.66
Nigeria,2.6
Gambia,2.59
Sudan,2.55
Zambia,2.54
Bangladesh,2.53
Pakistan,2.42
Cameroon,2.38
Mozambique,2.32
Mauritania,2.26
Uganda,2.19
Rwanda,2.18
Kiribati,2.17
Mali,2.16
Togo,2.15
Solomon Islands,2.11
Djibouti,1.98
Afghanistan,1.95
Angola,1.94
Benin,1.94
Burkina Faso,1.9
Equatorial Guinea,1.86
Comoros,1.82
Tanzania,1.81
Guinea,1.78
Malawi,1.74
Haiti,1.72
Madagascar,1.68
Ethiopia,1.65
Congo (Dem. Rep.),1.55
Burundi,1.48
Guinea-Bissau,1.48
Chad,1.27
Central African Rep.,1.04
Eritrea,0.96
