Country or Area,Internet Users,Population,Rank,Percentage,Rank.1
CN,"765,367,947","1,409,517,397",1,54.30%,116
IN,"461,347,554","1,339,180,127",2,34.45%,145
US,"244,090,854","324,459,463",3,75.23%,68
BR,"141,206,801","209,288,278",4,67.47%,83
JP,"115,845,120","127,484,450",5,90.87%,23
RU,"109,446,612","143,989,754",6,76.01%,64
ID,"85,242,816","263,991,379",7,32.29%,150
MX,"82,470,752","129,163,276",8,63.85%,92
DE,"69,304,405","82,114,224",9,84.40%,36
PH,"63,003,313","104,918,090",10,60.05%,103
GB,"62,621,016","66,181,585",11,94.62%,18
PK,"61,837,331","220,800,300",25,30.68%,184
FR,"52,308,536","64,979,548",13,80.50%,50
TR,"52,225,879","80,745,020",14,64.68%,89
IR,"49,038,556","81,162,788",15,60.42%,101
KR,"48,484,084","50,982,212",16,95.10%,15
VN,"47,359,575","95,540,800",17,49.57%,122
EG,"43,850,141","97,553,151",18,44.95%,132
ES,"39,215,756","46,354,321",19,84.60%,33
TH,"36,513,941","69,037,513",20,52.89%,117
IT,"36,387,619","59,359,900",21,61.30%,98
CA,"33,950,632","36,624,199",22,92.70%,22
AR,"33,561,876","44,271,041",23,75.81%,67
ZA,"31,858,027","56,717,156",24,56.17%,111
NG,"30,557,175","190,015,955",12,27.51%,161
CO,"30,548,252","49,065,615",26,62.26%,96
BD,"30,530,435","164,669,751",27,18.02%,180
PL,"29,005,924","38,170,712",28,75.99%,66
SA,"27,048,861","32,938,213",29,82.12%,39
MY,"25,343,685","31,624,264",30,80.14%,52
UA,"25,260,147","44,222,947",31,57.12%,109
MA,"22,072,765","35,739,580",32,61.76%,97
TW,"21,920,626","23,626,456",33,92.78%,21
AU,"21,159,515","24,450,561",34,86.54%,31
VE,"20,564,451","31,977,065",35,64.31%,91
DZ,"19,704,622","41,318,142",36,47.69%,130
ET,"19,543,075","104,957,438",37,18.62%,179
IQ,"18,892,351","38,274,618",38,49.36%,123
UZ,"16,692,456","31,910,641",39,52.31%,118
